nr,name,type
1,DEC1,N/A
2,P0.00,N/A
3,P0.01,N/A
4,P0.02,N/A
5,P0.03,N/A
6,P0.04,N/A
7,P0.05,N/A
8,P0.06,N/A
9,P0.07,N/A
10,P0.08,N/A
11,P0.09,N/A
12,P0.10,N/A
13,VDD,N/A
14,P0.11,N/A
15,P0.12,N/A
16,P0.13,N/A
17,P0.14,N/A
18,P0.15,N/A
19,P0.16,N/A
20,P0.17,N/A
21,P0.18,N/A
22,P0.19,N/A
23,P0.20,N/A
24,P0.21,N/A
25,SWDCLK,N/A
26,SWDIO,N/A
27,P0.22,N/A
28,P0.23,N/A
29,P0.24,N/A
30,ANT,N/A
31,VSS,N/A
32,DEC2,N/A
33,DEC3,N/A
34,XC1,N/A
35,XC2,N/A
36,VDD,N/A
37,P0.25,N/A
38,P0.26,N/A
39,P0.27,N/A
40,P0.28,N/A
41,P0.29,N/A
42,P0.30,N/A
43,P0.31,N/A
44,NC,N/A
45,VSS,N/A
46,DEC4,N/A
47,DCC,N/A
48,VDD,N/A
